question|answer
Sensory Phenomena|Sensory Phenomena.Superficial touch is tested by means of a wisp of cotton wool stroked gently across the skin; the capacity of discriminating two points as separate, by a pair of blunt-pointed compasses; the sensation of pressure, by means of a pencil or other blunt object; of pain, by pricking or scratching with a needle; and of sensibility to heat and cold, by test-tubes containing water at different temperatures.While these tests are being carried out, the patient's eyes are screened off.After division of a nerve containing sensory fibres, there is an area of absolute cutaneous insensibility to touch (anasthesia), to pain (analgesia), and to all degrees of temperature  loss of protopathic sensibility ; surrounded by an area in which there is loss of sensation to light touch, inability to recognise minor differences of temperature (72°–104° F.), and to appreciate as separate impressions the contact of the two points of a compass  loss of epicritic sensibility  (Head and Sherren) (Figs.91, 92).Motor Phenomena.
Motor Phenomena|Motor Phenomena.There is immediate and complete loss of voluntary power in the muscles supplied by the divided nerve.The muscles rapidly waste, and within from three to five days, they cease to react to the faradic current.When tested with the galvanic current, it is found that a stronger current must be used to call forth contraction than in a healthy muscle, and the contraction appears first at the closing of the circuit when the anode is used as the testing electrode.The loss of excitability to the interrupted current, and the specific alteration in the type of contraction with the constant current, is known as the  reaction of degeneration .After a few weeks all electric excitability is lost.
Arthropathies|Arthropathies are occasionally met with, the joints becoming the seat of a painless effusion or hydrops, which is followed by fibrous thickening of the capsular and other ligaments, and terminates in stiffness and fibrous ankylosis.In this way the fingers are seriously crippled and deformed.Treatment of Divided Nerves.The treatment consists in approximating the divided ends of the nerve and placing them under the most favourable conditions for repair, and this should be done at the earliest possible opportunity.( Op.Surg.
Incomplete Division of a Mixed Nerve|Incomplete Division of a Mixed Nerve.The effects of partial division of a mixed nerve vary according to the destination of the nerve bundles that have been interrupted.Within their area of distribution the paralysis is as complete as if the whole trunk had been cut across.The uninjured nerve-bundles continue to transmit impulses with the result that there is a  dissociated paralysis  within the distribution of the affected nerve, some muscles continuing to act and to respond normally to electric stimulation, while others behave as if the whole nerve-trunk had been severed.In addition to vasomotor and trophic changes, there is often severe pain of a burning kind ( causalgia  or  thermalgia ) which comes on about a fortnight after the injury and causes intense and continuous suffering which may last for months.Paroxysms of pain may be excited by the slightest touch or by heat, and the patient usually learns for himself that the constant application of cold wet cloths allays the pain.
hyperasthesia|One of the most constant symptoms is the early occurrence of severe neuralgic pain, and this is usually associated with marked hyperasthesia.Regeneration.Process of Repair when the Ends are in Contact.If the wound is aseptic , and the ends of the divided nerve are sutured or remain in contact, they become united, and the conducting paths are re-established by a regeneration of nerve fibres.There is a difference of opinion as to the method of regeneration.The Wallerian doctrine is that the axis cylinders in the central end grow downwards, and enter the nerve sheaths of the distal portion, and continue growing until they reach the peripheral terminations in muscle and skin, and in course of time acquire a myelin sheath; the cells of the neurolemma multiply and form long chains in both ends of the nerve, and are believed to provide for the nourishment and support of the actively lengthening axis cylinders.Some weeks or months after the injury, the patient complains of increasing hyperasthesia and of neuralgic pains in the course of the nerve.The nerve is very sensitive to pressure, and, if superficial, may be felt to be swollen.The associated muscles are wasted and weak, and are subject to twitchings.There are also trophic disturbances.It is rare to have complete sensory and motor paralysis.The disease is commonest in the nerves of the upper extremity, and the hand may become crippled and useless.
Multiple Peripheral Neuritis|Multiple Peripheral Neuritis.Although this disease mainly comes under the cognizance of the physician, it may be attended with phenomena which call for surgical interference.In this country it is commonly due to alcoholism, but it may result from diabetes or from chronic poisoning with lead or arsenic, or from bacterial infections and intoxications such as occur in diphtheria, gonorrhœa, syphilis, leprosy, typhoid, influenza, beri-beri, and many other diseases.It is, as a rule, widely distributed throughout the peripheral nerves, but the distribution frequently varies with the cause the alcoholic form, for example, mainly affecting the legs, the diphtheritic form the soft palate and pharynx, and that associated with lead poisoning the forearms.The essential lesion is a degeneration of the conducting fibres of the affected nerves, and the prominent symptoms are the result of this.In alcoholic neuritis there is great tenderness of the muscles.
the ulnar nerve|This injury, which resembles the dislocation of tendons from their grooves, is seldom met with except in the ulnar nerve at the elbow, and is described with injuries of that nerve.DISEASES OF NERVES  Traumatic Neuritis.This consists in an overgrowth of the connective-tissue framework of a nerve, which causes irritation and pressure upon the nerve fibres, sometimes resulting in their degeneration.It may originate in connection with a wound in the vicinity of a nerve, as, for example, when the brachial nerves are involved in scar tissue subsequent to an operation for clearing out the axilla for cancer; or in contusion and compression of a nerve for example, by the pressure of the head of the humerus in a dislocation of the shoulder.Some weeks or months after the injury, the patient complains of increasing hyperasthesia and of neuralgic pains in the course of the nerve.The nerve is very sensitive to pressure, and, if superficial, may be felt to be swollen.Infra-clavicular injuries , as already stated, are most often produced by a sub-coracoid dislocation of the humerus; the medial cord is that most frequently injured, and the muscles paralysed are those supplied by the ulnar nerve, with, in addition, those intrinsic muscles of the hand supplied by the median.Sensibility is affected over the medial surface of the forearm and ulnar area of the hand.Injury of the lateral and posterior cords is very rare.Treatment  is carried out on the lines already laid down for nerve injuries in general.It is impossible to diagnose between complete and incomplete rupture of the nerve cords, until sufficient time has elapsed to allow of the establishment of the reaction of degeneration.If this is present at the end of fourteen days, operation should not be delayed.Dislocation of the ulnar nerve  at the elbow results from sudden and violent flexion of the joint, the muscular effort causing stretching or laceration of the fascia that holds the nerve in its groove; it is predisposed to if the groove is shallow as a result of imperfect development of the medial condyle of the humerus, and by cubitus valgus.The nerve slips forward, and may be felt lying on the medial aspect of the condyle.It may retain this position, or it may slip backwards and forwards with the movements of the arm.The symptoms at the time of the displacement are some disability at the elbow, and pain and tingling along the nerve, which are exaggerated by movement and by pressure.The symptoms may subside altogether, or a neuritis may develop, with severe pain shooting up the nerve.The dislocated nerve is easily replaced, but is difficult to retain in position.
ossis metacarpi|The palmaris longus is anastomosed with the abductor pollicis longus (extensor ossis metacarpi pollicis), thus securing a fair amount of abduction of the thumb.The flexor carpi ulnaris may also be anastomosed with the common extensor of the fingers.The extensors of the wrist may be shortened, so as to place the hand in the position of dorsal flexion, and thus improve the attitude and grasp of the hand.The superficial branch of the radial  (radial nerve)  and the deep branch  (posterior interosseous), apart from suffering in lesions of the radial, are liable to be contused or torn is dislocation of the head of the radius, and in fracture of the neck of the bone.The deep branch may be divided as it passes through the supinator in operations on old fractures and dislocations in the region of the elbow.Division of the superficial branch in the upper two-thirds of the forearm produces no loss of sensibility; division in the lower third after the nerve has become associated with branches from the musculo-cutaneous is followed by a loss of sensibility on the radial side of the hand and thumb.ossis metacarpi pollicis), while opposition may be simulated by contraction of the long flexor and the short abductor of the thumb; the paralysis of the two medial lumbricals produces no symptoms that can be recognised.It is important to remember that when the median nerve is divided at the wrist, deep touch can be appreciated over the whole of the area supplied by the nerve; the injury, therefore, is liable to be over looked.If, however, the tendons are divided as well as the nerve, there is insensibility to deep touch.The areas of epicritic and of protopathic insensibility are illustrated in Fig.91.The division of the nerve at the elbow, or even at the axilla, does not increase the extent of the loss of epicritic or protopathic sensibility, but usually affects deep sensibility.
The Ulnar Nerve|The Ulnar Nerve.The most common injury of this nerve is its division in transverse accidental wounds just above the wrist.In the arm it may be contused, along with the radial, in crutch paralysis; in the region of the elbow it may be injured in fractures or dislocations, or it may be accidentally divided in the operation for excising the elbow-joint.When it is injured  at or above the elbow , there is paralysis of the flexor carpi ulnaris, the ulnar half of the flexor digitorum profundus, all the interossei, the two medial lumbricals, and the adductors of the thumb.The hand assumes a characteristic attitude: the index and middle fingers are extended at the metacarpo-phalangeal joints owing to paralysis of the interosseous muscles attached to them; the little and ring fingers are hyper-extended at these joints in consequence of the paralysis of the lumbricals; all the fingers are flexed at the inter-phalangeal joints, the flexion being most marked in the little and ring fingers claw-hand or  main en griffe .On flexing the wrist, the hand is tilted to the radial side, but the paralysis of the flexor carpi ulnaris is often compensated for by the action of the palmaris longus.
cubitus valgus|Dislocation of the ulnar nerve  at the elbow results from sudden and violent flexion of the joint, the muscular effort causing stretching or laceration of the fascia that holds the nerve in its groove; it is predisposed to if the groove is shallow as a result of imperfect development of the medial condyle of the humerus, and by cubitus valgus.The nerve slips forward, and may be felt lying on the medial aspect of the condyle.It may retain this position, or it may slip backwards and forwards with the movements of the arm.The symptoms at the time of the displacement are some disability at the elbow, and pain and tingling along the nerve, which are exaggerated by movement and by pressure.The symptoms may subside altogether, or a neuritis may develop, with severe pain shooting up the nerve.The dislocated nerve is easily replaced, but is difficult to retain in position.
The Sciatic Nerve|"The Sciatic Nerve.When this nerve is compressed, as by sitting on a fence, there is tingling and powerlessness in the limb as a whole, known as ""sleeping"" of the limb, but these phenomena are evanescent.Injuries to the great sciatic nerve  are rare except in war.Partial division is more common than complete, and it is noteworthy that the fibres destined for the peroneal nerve are more often and more severely injured than those for the tibial (internal popliteal).After complete division, all the muscles of the leg are paralysed; if the section is in the upper part of the thigh, the hamstrings are also paralysed.The limb is at first quite powerless, but the patient usually recovers sufficiently to be able to walk with a little support, and although the hamstrings are paralysed the knee can be flexed by the sartorius and gracilis."
The Common Peroneal|"The Common Peroneal (external popliteal) nerve  is exposed to injury where it winds round the neck of the fibula, because it is superficial and lies against the unyielding bone.It may be compressed by a tourniquet, or it may be bruised or torn in fractures of the upper end of the bone.It has been divided in accidental wounds, by a scythe, for example, in incising for cellulitis, and in performing subcutaneous tenotomy of the biceps tendon.Cases have been observed of paralysis of the nerve as a result of prolonged acute flexion of the knee in certain occupations.When the nerve is divided, the most obvious result is ""drop-foot""; the patient is unable to dorsiflex the foot and cannot lift his toes off the ground, so that in walking he is obliged to jerk the foot forwards and laterally.The loss of sensibility depends upon whether the nerve is divided above or below the origin of the large cutaneous branch which comes off just before it passes round the neck of the fibula."
The Injection of Alcohol|The Injection of Alcohol into the Nerve.The alcohol acts by destroying the nerve fibres, and must be brought into direct contact with them; if the nerve has been properly struck the injection is followed by complete anasthesia in the distribution of the nerve.The relief may last for from six months to three years; if the pain returns, the injection may be repeated.The strength of the alcohol should be 85 per cent., and the amount injected about 2 c.c.; a general, or preferably a local, anasthetic (novocain) should be employed (Schlösser); the needle is 8 cm.long, and 0.7 mm.
novocain-suprarenin|solution of  novocain-suprarenin  through it before the alcohol is injected.The treatment by injection of alcohol is superior to the resection of branches of the nerve, for though relapses occur after the treatment with alcohol, renewed freedom from pain may be obtained by its repetition.The ophthalmic division should not, however, be treated in this manner, for the alcohol may escape into the orbit and endanger other nerves in this region.Harris recommends the injection of alcohol into the semilunar ganglion.Operative Treatment.This consists in the removal of the affected nerve or nerves, either by resection  neurectomy ; or by a combination of resection with twisting or tearing of the nerve from its central connections  avulsion .
Blisters   Callosities   Corns   Chilblains        Boils   |"CHAPTER XVII THE SKIN AND SUBCUTANEOUS TISSUE

Structure of skin  Blisters   Callosities   Corns   Chilblains        Boils   Carbuncle   Abscess   Veldt sores  Tuberculosis of     skin:  Inoculation tubercle   Lupus :  Varieties  Sporotrichosis      Elephantiasis Sebaceous cysts or wens Moles Horns New growths:      Fibroma ;  Papilloma ;  Adenoma ;  Epithelioma ;  Rodent cancer ;      Melanotic cancer ;  Sarcoma  AFFECTIONS OF CICATRICES  Varieties     of scars   Keloid   Tumours  AFFECTIONS OF NAILS.Structure of Skin.The skin is composed of a superficial cellular layer the epidermis, and the corium or true skin.The  epidermis  is differentiated from without inwards into the stratum corneum, the stratum lucidum, the stratum granulosum, and the rete Malpighii or germinal layer, from which all the others are developed.The  corium  or  true skin  consists of connective tissue, in which ramify the blood vessels, lymphatics, and nerves.That part of the corium immediately adjoining the epidermis is known as the papillary portion, and contains the terminal loops of the cutaneous blood vessels and the terminations of the cutaneous nerves."
Moles Horns New|"CHAPTER XVII THE SKIN AND SUBCUTANEOUS TISSUE

Structure of skin  Blisters   Callosities   Corns   Chilblains        Boils   Carbuncle   Abscess   Veldt sores  Tuberculosis of     skin:  Inoculation tubercle   Lupus :  Varieties  Sporotrichosis      Elephantiasis Sebaceous cysts or wens Moles Horns New growths:      Fibroma ;  Papilloma ;  Adenoma ;  Epithelioma ;  Rodent cancer ;      Melanotic cancer ;  Sarcoma  AFFECTIONS OF CICATRICES  Varieties     of scars   Keloid   Tumours  AFFECTIONS OF NAILS.Structure of Skin.The skin is composed of a superficial cellular layer the epidermis, and the corium or true skin.The  epidermis  is differentiated from without inwards into the stratum corneum, the stratum lucidum, the stratum granulosum, and the rete Malpighii or germinal layer, from which all the others are developed.The  corium  or  true skin  consists of connective tissue, in which ramify the blood vessels, lymphatics, and nerves.That part of the corium immediately adjoining the epidermis is known as the papillary portion, and contains the terminal loops of the cutaneous blood vessels and the terminations of the cutaneous nerves."
CICATRICES  Varieties|"CHAPTER XVII THE SKIN AND SUBCUTANEOUS TISSUE

Structure of skin  Blisters   Callosities   Corns   Chilblains        Boils   Carbuncle   Abscess   Veldt sores  Tuberculosis of     skin:  Inoculation tubercle   Lupus :  Varieties  Sporotrichosis      Elephantiasis Sebaceous cysts or wens Moles Horns New growths:      Fibroma ;  Papilloma ;  Adenoma ;  Epithelioma ;  Rodent cancer ;      Melanotic cancer ;  Sarcoma  AFFECTIONS OF CICATRICES  Varieties     of scars   Keloid   Tumours  AFFECTIONS OF NAILS.Structure of Skin.The skin is composed of a superficial cellular layer the epidermis, and the corium or true skin.The  epidermis  is differentiated from without inwards into the stratum corneum, the stratum lucidum, the stratum granulosum, and the rete Malpighii or germinal layer, from which all the others are developed.The  corium  or  true skin  consists of connective tissue, in which ramify the blood vessels, lymphatics, and nerves.That part of the corium immediately adjoining the epidermis is known as the papillary portion, and contains the terminal loops of the cutaneous blood vessels and the terminations of the cutaneous nerves."
Callosities|"CHAPTER XVII THE SKIN AND SUBCUTANEOUS TISSUE

Structure of skin  Blisters   Callosities   Corns   Chilblains        Boils   Carbuncle   Abscess   Veldt sores  Tuberculosis of     skin:  Inoculation tubercle   Lupus :  Varieties  Sporotrichosis      Elephantiasis Sebaceous cysts or wens Moles Horns New growths:      Fibroma ;  Papilloma ;  Adenoma ;  Epithelioma ;  Rodent cancer ;      Melanotic cancer ;  Sarcoma  AFFECTIONS OF CICATRICES  Varieties     of scars   Keloid   Tumours  AFFECTIONS OF NAILS.Structure of Skin.The skin is composed of a superficial cellular layer the epidermis, and the corium or true skin.The  epidermis  is differentiated from without inwards into the stratum corneum, the stratum lucidum, the stratum granulosum, and the rete Malpighii or germinal layer, from which all the others are developed.The  corium  or  true skin  consists of connective tissue, in which ramify the blood vessels, lymphatics, and nerves.That part of the corium immediately adjoining the epidermis is known as the papillary portion, and contains the terminal loops of the cutaneous blood vessels and the terminations of the cutaneous nerves.Callosities  are prominent, indurated masses of the horny layer of the epidermis, where it has been exposed to prolonged friction and pressure.They occur on the fingers and hand as a result of certain occupations and sports, but are most common under the balls of the toes or heel.A bursa may form beneath a callosity, and if it becomes inflamed may cause considerable suffering; if suppuration ensues, a sinus may form, resembling a perforating ulcer of the foot.The  treatment  of callosities on the foot consists in removing pressure by wearing properly fitting boots, and in applying a ring pad around the callosity; another method is to fit a sock of spongiopilene with a hole cut out opposite the callosity.After soaking in hot water, the overgrown horny layer is pared away, and the part painted daily with a saturated solution of salicylic acid in flexile collodion.Corns."
Boils and Carbuncles|"Boils and Carbuncles.These result from infection with the staphylococcus aureus, which enters the orifices of the ducts of the skin under the influence of friction and pressure, as was demonstrated by the well-known experiment of Garrè, who produced a crop of pustules and boils on his own forearm by rubbing in a culture of the staphylococcus aureus.A  boil  results when the infection is located in a hair follicle or sebaceous gland.A hard, painful, conical swelling develops, to which, so long as the skin retains its normal appearance, the term ""blind boil"" is applied.Usually, however, the skin becomes red, and after a time breaks, giving exit to a drop or two of thick pus.After an interval of from six to ten days a soft white slough is discharged; this is known as the ""core,"" and consists of the necrosed hair follicle or sebaceous gland."
ceous gland|"The more highly organised elements of the skin, such as the hair follicles, the sweat and sebaceous glands, are imperfectly reproduced; hence the scar remains smooth, dry, and hairless.Epithelium.Epithelium is only reproduced from pre-existing epithelium, and, as a rule, from one of a similar type, although metaplastic transformation of cells of one kind of epithelium into another kind can take place.Thus a granulating surface may be covered entirely by the ingrowing of the cutaneous epithelium from the margins; or islets, originating in surviving cells of sebaceous glands or sweat glands, or of hair follicles, may spring up in the centre of the raw area.Such islets may also be due to the accidental transference of loose epithelial cells from the edges.Even the fluid from a blister, in virtue of the isolated cells of the rete Malpighii which it contains, is capable of starting epithelial growth on a granulating surface.Thus a granulating surface may be covered entirely by the ingrowing of the cutaneous epithelium from the margins; or islets, originating in surviving cells of sebaceous glands or sweat glands, or of hair follicles, may spring up in the centre of the raw area.Such islets may also be due to the accidental transference of loose epithelial cells from the edges.Even the fluid from a blister, in virtue of the isolated cells of the rete Malpighii which it contains, is capable of starting epithelial growth on a granulating surface.Hairs and nails may be completely regenerated if a sufficient amount of the hair follicles or of the nail matrix has escaped destruction.The epithelium of a mucous membrane is regenerated in the same way as that on a cutaneous surface.Epithelial cells have the power of living for some time after being separated from their normal surroundings, and of growing again when once more placed in favourable circumstances.A  boil  results when the infection is located in a hair follicle or sebaceous gland.A hard, painful, conical swelling develops, to which, so long as the skin retains its normal appearance, the term ""blind boil"" is applied.Usually, however, the skin becomes red, and after a time breaks, giving exit to a drop or two of thick pus.After an interval of from six to ten days a soft white slough is discharged; this is known as the ""core,"" and consists of the necrosed hair follicle or sebaceous gland.After the separation of the core the boil heals rapidly, leaving a small depressed scar.Boils are most frequently met with on the back of the neck and the buttocks, and on other parts where the skin is coarse and thick and is exposed to friction and pressure.After an interval of from six to ten days a soft white slough is discharged; this is known as the ""core,"" and consists of the necrosed hair follicle or sebaceous gland.After the separation of the core the boil heals rapidly, leaving a small depressed scar.Boils are most frequently met with on the back of the neck and the buttocks, and on other parts where the skin is coarse and thick and is exposed to friction and pressure.The occurrence of a number or a succession of boils is due to spread of the infection, the cocci from the original boil obtaining access to adjacent hair follicles.The spread of boils may be unwittingly promoted by the use of a domestic poultice or the wearing of infected underclothing.While boils are frequently met with in debilitated persons, and particularly in those suffering from diabetes or Bright's disease, they also occur in those who enjoy vigorous health.In young infants, abscesses are not infrequently met with scattered over the trunk and limbs, and are probably the result of infection of the sebaceous glands from dirty underclothing.The abscesses should be opened, and the further spread of infection prevented by cleansing of the skin and by the use of clean under-linen.Similar abscesses are met with on the scalp in association with eczema, impetigo, and pediculosis.Veldt Sore.This sore usually originates in an abrasion of the epidermis, such as a sun blister, the bite of an insect, or a scratch.A pustule forms and bursts, and a brownish-yellow scab forms over it.Atheromatous cysts or wens are formed in relation to the sebaceous glands and hair follicles.They are commonly met with in adults, on the scalp (Fig.99), face, neck, back, and external genitals.Sometimes they are multiple, and they may be met with in several members of the same family.They are smooth, rounded, or discoid cysts, varying in size from a split-pea to a Tangerine orange.In consistence they are firm and elastic, or fluctuating, and are incorporated with the overlying skin, but movable on the deeper structures.The  sebaceous adenoma , which originates from the sebaceous glands, forms a projecting tumour on the face or scalp, and when the skin is irritated it may ulcerate and fungate.The treatment consists in the removal of the tumour along with the overlying skin.The exuberant masses on the nose known as ""rhinophyma,"" ""lipoma nasi,"" or ""potato nose"" are of the nature of sebaceous adenoma, and are removed by shaving them off with a knife until the normal shape of the nose is restored Healing takes place with remarkable rapidity.Cancer.There are several types of primary cancer of the skin, the most important being squamous epithelioma, rodent cancer, and melanotic cancer.Epithelioma  occurs in a variety of forms."
inoculation tubercle|We have chiefly observed it in the femoral glands as a result of inoculation tubercle on the toes or sole of the foot.The affected glands nearly always break down and suppurate, and after destroying the overlying skin give rise to fungating ulcers.The treatment consists in excising the glands and the affected skin.The dissection may be attended with troublesome hamorrhage from the numerous veins that converge towards the femoral trunk.Tuberculous disease in the  mesenteric  and  bronchial glands  is described with the surgery of regions.Syphilitic Disease of Glands.Interest attaches chiefly to the primary forms of tuberculosis of the skin in which the bacilli penetrate from without inoculation tubercle and lupus.Inoculation Tubercle.The appearances vary with the conditions under which the inoculation takes place.As observed on the fingers of adults, the affection takes the form of an indolent painless swelling, the epidermis being red and glazed, or warty, and irregularly fissured.Sometimes the epidermis gives way, forming an ulcer with flabby granulations.The infection rarely spreads to the lymphatics, but we have seen inoculation tubercle of the index-finger followed by a large cold abscess on the median side of the upper arm and by a huge mass of breaking down glands in the axilla.The infection rarely spreads to the lymphatics, but we have seen inoculation tubercle of the index-finger followed by a large cold abscess on the median side of the upper arm and by a huge mass of breaking down glands in the axilla.In children who run about barefooted in towns, tubercle may be inoculated into wounds in the sole or about the toes, and although the local appearances may not be characteristic, the nature of the infection is revealed by its tendency to spread up the limb along the lymph vessels, giving rise to abscesses and fungating ulcers in relation to the femoral glands.Tuberculous Lupus.This is an extremely chronic affection of the skin.It rarely extends to the lymph glands, and of all tuberculous lesions is the least dangerous to life.The commonest form of lupus  lupus vulgaris  usually commences in childhood or youth, and is most often met with on the nose or cheek.
Inoculation Tubercle|Inoculation Tubercle.The appearances vary with the conditions under which the inoculation takes place.As observed on the fingers of adults, the affection takes the form of an indolent painless swelling, the epidermis being red and glazed, or warty, and irregularly fissured.Sometimes the epidermis gives way, forming an ulcer with flabby granulations.The infection rarely spreads to the lymphatics, but we have seen inoculation tubercle of the index-finger followed by a large cold abscess on the median side of the upper arm and by a huge mass of breaking down glands in the axilla.In children who run about barefooted in towns, tubercle may be inoculated into wounds in the sole or about the toes, and although the local appearances may not be characteristic, the nature of the infection is revealed by its tendency to spread up the limb along the lymph vessels, giving rise to abscesses and fungating ulcers in relation to the femoral glands.
Sporotrichosis|"CHAPTER XVII THE SKIN AND SUBCUTANEOUS TISSUE

Structure of skin  Blisters   Callosities   Corns   Chilblains        Boils   Carbuncle   Abscess   Veldt sores  Tuberculosis of     skin:  Inoculation tubercle   Lupus :  Varieties  Sporotrichosis      Elephantiasis Sebaceous cysts or wens Moles Horns New growths:      Fibroma ;  Papilloma ;  Adenoma ;  Epithelioma ;  Rodent cancer ;      Melanotic cancer ;  Sarcoma  AFFECTIONS OF CICATRICES  Varieties     of scars   Keloid   Tumours  AFFECTIONS OF NAILS.Structure of Skin.The skin is composed of a superficial cellular layer the epidermis, and the corium or true skin.The  epidermis  is differentiated from without inwards into the stratum corneum, the stratum lucidum, the stratum granulosum, and the rete Malpighii or germinal layer, from which all the others are developed.The  corium  or  true skin  consists of connective tissue, in which ramify the blood vessels, lymphatics, and nerves.That part of the corium immediately adjoining the epidermis is known as the papillary portion, and contains the terminal loops of the cutaneous blood vessels and the terminations of the cutaneous nerves.Sporotrichosis  is a mycotic infection due to the sporothrix Shenkii.It presents so many features resembling syphilis and tubercle that it is frequently mistaken for one or other of these affections.It occurs chiefly in males between fifteen and forty-five, who are farmers, fruit and vegetable dealers, or florists.There is usually a history of trauma of the nature of a scratch or a cut, and after a long incubation period there develop a series of small, hard, round nodules in the skin and subcutaneous tissue which, without pain or temperature, soften into cold abscesses and leave indolent ulcers or sinuses.The infection is of slow progress and follows the course of the lymphatics.From the gelatinous pus the organism is cultivated without difficulty, and this is the essential step in arriving at a diagnosis."
lymphangioplasty|Handley has devised a method of treatment  lymphangioplasty  the object of which is to drain the lymph by embedding a number of silk threads in the subcutaneous cellular tissue.Wounds of the Thoracic Duct.The thoracic duct usually opens at the angle formed by the junction of the left internal jugular and subclavian veins, but it may open into either of these vessels by one or by several channels, or the duct may be double throughout its course.There is a smaller duct on the right side the right lymphatic duct.The duct or ducts may be displaced by a tumour or a mass of enlarged glands, and may be accidentally wounded in dissections at the root of the neck; jets of milky fluid chyle may at once escape from it.The jets are rhythmical and coincide with expiration.Samson Handley has sought to replace the blocked lymph vessels by burying in the subcutaneous tissue of the swollen part a number of stout silk threads  lymphangioplasty .By their capillary action they drain the lymph to a healthy region above, and thus enable it to enter the circulation.It has been more successful in the face and upper limb than in the lower extremity.If the tissues are infected with pus organisms, a course of vaccines should precede the operation.A similar type of elephantiasis may occur after extirpation of the lymph glands in the axilla or groin; in the leg in long-standing standing varix and phlebitis with chronic ulcer; in the arm as a result of extensive cancerous disease of the lymphatics in the axilla secondarily to cancer of the breast; and in extensive tuberculous disease of the lymphatics.The last-named is chiefly observed in the lower limb in young adult women, and from its following upon lupus of the toes or foot it has been called  lupus elephantiasis .
