,Question,Answer
278,What is the power a parasitic micro-organism has of multiplying in the body and giving rise to disease called? <sep> What is the power a parasitic micro-organism has of multiplying in the body and giving rise to disease called? <sep> What is the power a parasitic micro-organism has of multiplying in the body and giving rise to disease called? <sep> What is the power a parasitic micro-organism has of multiplying in the body and giving rise to disease called? <sep>,"The power a given parasitic micro-organism has of multiplying in the body and giving rise to disease is spoken of as its  virulence , and this varies not only with different species, but in the same species at different times and under varying circumstances."
279,What is another important factor in determining the pathogenic power of organisms? <sep>,The actual number of organisms introduced is also an important factor in determining their pathogenic power.
280,What can healthy tissues resist? <sep> What happens when a certain number of bacteria is over the limit? <sep>,"Healthy tissues can resist the invasion of a certain number of bacteria of a given species, but when that number is exceeded, the organisms get the upper hand and disease results."
281,What do organisms do when they gain access to the blood-stream? <sep> What do organisms do when they gain access to the blood-stream? <sep> What do organisms do when they gain access to the blood-stream? <sep>,"When the organisms gain access directly to the blood-stream, as a rule they produce their effects more certainly and with greater intensity than when they are introduced into the tissues."
282,What is the condition of the patient into whose tissues it is introduced? <sep>,"Further, the virulence of an organism is modified by the condition of the patient into whose tissues it is introduced."
283,What is the condition of a person that is in good health? <sep> What is the ability of the tissues to resist attacks of bacteria? <sep>,"So long as a person is in good health, the tissues are able to resist the attacks of moderate numbers of most bacteria."
284,What makes an individual more susceptible to infection? <sep>,"Any lowering of the vitality of the individual, however, either locally or generally, at once renders him more susceptible to infection."
285,What is more liable to pus-producing organisms in bruised or torn tissue than tissues clean-cut with a knife? <sep> What is more liable to pus-producing organisms in bruised or torn tissue than tissues clean-cut with a knife? <sep>,"Thus bruised or torn tissue is much more liable to infection with pus-producing organisms than tissues clean-cut with a knife; also, after certain diseases, the liability to infection by the organisms of diphtheria, pneumonia, or erysipelas is much increased."
286,What can cause a slight depressed state of vitality? <sep> What can be enough to turn the scale in the battle between the tissues and bacteria? <sep>,"Even such slight depression of vitality as results from bodily fatigue, or exposure to cold and damp, may be sufficient to turn the scale in the battle between the tissues and the bacteria."
287,What is an important factor in regard to the action of certain bacteria? <sep>,Age is an important factor in regard to the action of certain bacteria.
288,What is the most common disease that young people are exposed to? <sep> What is the most common disease that young people are exposed to? <sep>,"Young subjects are attacked by diphtheria, tuberculosis, acute osteomyelitis, and some other diseases with greater frequency and severity than those of more advanced years."
289,What are some of the pathogenic powers of certain organisms? <sep> What are some of the pathogenic powers of certain organisms? <sep>,"In different races, localities, environment, and seasons, the pathogenic powers of certain organisms, such as those of erysipelas, diphtheria, and acute osteomyelitis, vary considerably."
290,What is the term for a mixed infection? <sep> What is the term for a mixed infection? <sep> What is the term for a mixed infection? <sep> What is the term for a mixed infection? <sep>,"There is evidence that a  mixed infection  that is, the introduction of more than one species of organism, for example, the tubercle bacillus and a pyogenic staphylococcus increases the severity of the resulting disease."
291,What happens if one of the varieties gain the ascendancy? <sep> What does the poisons produced by the others do? <sep> What increases the virulence of the most active organisms? <sep>,"If one of the varieties gain the ascendancy, the poisons produced by the others so devitalise the tissue cells, and diminish their power of resistance, that the virulence of the most active organisms is increased."
292,What is an example of an organism that can cause a patch of tblupus to be cured? <sep> What is an example of an organism that can cause a patch of tblupus to be cured? <sep>,"On the other hand, there is reason to believe that the products of certain organisms antagonise one another for example, an attack of erysipelas may effect the cure of a patch of tuberculous lupus."
293,What can bacteria invade the internal organs of chronic wasting diseases? <sep> What period precedes death? <sep>,"Lastly, in patients suffering from chronic wasting diseases, bacteria may invade the internal organs by the blood-stream in enormous numbers and with great rapidity, during the period of extreme debility which shortly precedes death."
294,What can be erroneous conclusions drawn from the discovery of such collections of organisms? <sep>,The discovery of such collections of organisms on post-mortem examination may lead to erroneous conclusions being drawn as to the cause of death.
295,What is the name of the process that produces the results of Bacterial Growth? <sep>,Results of Bacterial Growth.
296,What organisms show little tendency to pass far beyond the point at which they gain an entrance to the body? <sep>,"Some organisms, such as those of tetanus and erysipelas, and certain of the pyogenic bacteria, show little tendency to pass far beyond the point at which they gain an entrance to the body."
297,What organisms tend to pass to distant parts? <sep> Where do the organisms of acute osteomyelitis often remain? <sep> Where do the organisms of acute osteomyelitis often stay? <sep>,"Others, on the contrary for example, the tubercle bacillus and the organism of acute osteomyelitis although frequently remaining localised at the seat of inoculation, tend to pass to distant parts, lodging in the capillaries of joints, bones, kidney, or lungs, and there producing their deleterious effects."
298,"In the human subject, what does not occur to a great extent? <sep>","In the human subject, multiplication in the blood-stream does not occur to any great extent."
299,What can be obtained from the blood in some general acute pyogenic infections? <sep>,"In some general acute pyogenic infections, such as osteomyelitis, cellulitis, etc., pure cultures of staphylococci or of streptococci may be obtained from the blood."
300,What can be found in pneumococcal and typhoid infections? <sep>,"In pneumococcal and typhoid infections, also, the organisms may be found in the blood."
301,What do micro-organisms disturb in the parts where they settle? <sep> What is the cause of the changes that micro-organisms bring about in the parts where they settle? <sep>,It is by the vital changes they bring about in the parts where they settle that micro-organisms disturb the health of the patient.
302,What is the process by which organisms evolve? <sep> What are the chemical products of unknown composition known as? <sep> What are the toxins? <sep>,"In deriving nourishment from the complex organic compounds in which they nourish, the organisms evolve, probably by means of a ferment, certain chemical products of unknown composition, but probably colloidal in nature, and known as  toxins ."
303,What are some symptoms of blood poisoning? <sep> What are some symptoms of blood poisoning? <sep> What are some symptoms of blood poisoning? <sep> What are some symptoms of blood poisoning? <sep>,"When these poisons are absorbed into the general circulation they give rise to certain groups of symptoms such as rise of temperature, associated circulatory and respiratory derangements, interference with the gastro-intestinal functions and also with those of the nervous system which go to make up the condition known as blood-poisoning, toxamia, or  bacterial intoxication ."
304,What bacteria produce toxins that give rise to definite and distinct groups of symptoms? <sep> What are the convulsions of tetanus? <sep> What are the paralyses that follow diphtheria? <sep>,"In addition to this, certain bacteria produce toxins that give rise to definite and distinct groups of symptoms such as the convulsions of tetanus, or the paralyses that follow diphtheria."
305,What is the name of the bacteria that dies? <sep>,Death of Bacteria.
306,What is the effect of the accumulation of toxic products of bacteria on the organisms? <sep> What is the result of the accumulation of toxic products of bacteria? <sep> What is the result of the accumulation of toxic products of bacteria? <sep>,"Under certain circumstances, it would appear that the accumulation of the toxic products of bacterial action tends to interfere with the continued life and growth of the organisms themselves, and in this way the natural cure of certain diseases is brought about."
307,What is the most powerful agent that can kill bacteria? <sep> What is the most powerful agent that can kill bacteria? <sep> What is the most powerful agent that can kill bacteria? <sep>,"Outside the body, bacteria may be killed by starvation, by want of moisture, by being subjected to high temperature, or by the action of certain chemical agents of which carbolic acid, the perchloride and biniodide of mercury, and various chlorine preparations are the most powerful."
308,What is the name of the disease that is immune? <sep>,Immunity.
309,Some people are insusceptible to what? <sep>,"Some persons are insusceptible to infection by certain diseases, from which they are said to enjoy a  natural immunity ."
310,What does one attack protect from? <sep> What is the name of the second attack? <sep>,"In many acute diseases one attack protects the patient, for a time at least, from a second attack  acquired immunity ."
311,What is the name of the disease that causes phagocytosis? <sep>,Phagocytosis.
312,What is the process of destroying bacteria called? <sep> What is the process of ingesting bacteria and destroying them? <sep>,In the production of immunity the leucocytes and certain other cells play an important part in virtue of the power they possess of ingesting bacteria and of destroying them by a process of intra-cellular digestion.
313,What is phagocytosis? <sep> What are microphages? <sep> What are macrophages? <sep> What are hyaline leucocytes? <sep>,"To this process Metchnikoff gave the name of  phagocytosis , and he recognised two forms of  phagocytes : (1) the  microphages , which are the polymorpho-nuclear leucocytes of the blood; and (2) the  macrophages , which include the larger hyaline leucocytes, endothelial cells, and connective-tissue corpuscles."
314,What is the process of phagocytosis? <sep> What do the leucocytes produce in the blood? <sep> What do the leucocytes destroy? <sep>,"During the process of phagocytosis, the polymorpho-nuclear leucocytes in the circulating blood increase greatly in numbers ( leucocytosis ), as well as in their phagocytic action, and in the course of destroying the bacteria they produce certain ferments which enter the blood serum."
315,What are the two names for opsonins? <sep> What are alexins? <sep> What is the process of opsonins similar to? <sep> What is the process of alexins similar to? <sep>,"These are known as  opsonins  or  alexins , and they act on the bacteria by a process comparable to narcotisation, and render them an easy prey for the phagocytes."
316,What is the term for Artificial Immunity? <sep>,Artificial or Passive Immunity.
317,What can induce an animal to become immune? <sep>,A form of immunity can be induced by the introduction of protective substances obtained from an animal which has been actively immunised.
318,What is the process by which passive immunity is acquired? <sep> What is produced as a result of the reaction between the specific virus of a particular disease and the tissues of the animal attacked? <sep> What protects an animal against a disease when transferred to the body of a susceptible animal? <sep>,"The process by which passive immunity is acquired depends upon the fact that as a result of the reaction between the specific virus of a particular disease (the  antigen ) and the tissues of the animal attacked, certain substances  antibodies  are produced, which when transferred to the body of a susceptible animal protect it against that disease."
319,What are the most important of these antibodies? <sep>,The most important of these antibodies are the  antitoxins .
320,What are the two main methods of treating certain infective diseases? <sep>,From the study of the processes by which immunity is secured against the effects of bacterial action the serum and vaccine methods of treating certain infective diseases have been evolved.
321,What is the purpose of the serum treatment? <sep> What is the purpose of the serum treatment? <sep>,The  serum treatment  is designed to furnish the patient with a sufficiency of antibodies to neutralise the infection.
322,What act by neutralising the specific toxins of the disease antitoxic serums? <sep> What act upon the bacteria anti-bacterial serums? <sep> What act upon the bacteria anti-bacterial serums? <sep>,The anti-diphtheritic and the anti-tetanic act by neutralising the specific toxins of the disease  antitoxic serums ; the anti-streptcoccic and the serum for anthrax act upon the bacteria  anti-bacterial serums .
323,What is a polyvalent serum? <sep> What is a polyvalent serum? <sep> What is a polyvalent serum? <sep> What is a polyvalent serum? <sep>,"A  polyvalent  serum, that is, one derived from an animal which has been immunised by numerous strains of the organism derived from various sources, is much more efficacious than when a single strain has been used."
324,What is the name of the product that is used for clinical use? <sep>,Clinical Use of Serums.
325,What must be taken to prevent contamination of the serum or of the apparatus by which it is injected? <sep>,Every precaution must be taken to prevent organismal contamination of the serum or of the apparatus by means of which it is injected.
326,How can syringes be sterilised? <sep> What is the process of making syringes? <sep>,Syringes are so made that they can be sterilised by boiling.
327,Where should the skin be purified? <sep> What is the best place for injection? <sep>,"The best situations for injection are under the skin of the abdomen, the thorax, or the buttock, and the skin should be purified at the seat of puncture."
328,What should be injected into different parts of the body? <sep> How much of the full dose should be divided and injected into different parts of the body? <sep>,"If the bulk of the full dose is large, it should be divided and injected into different parts of the body, not more than 20 c.c."
329,At what place is the injection of the drug? <sep>,being injected at one place.
330,What is the most common place that serum is introduced into a vein? <sep> What is another way that serum is introduced into a spinal canal? <sep>,"The serum may be introduced directly into a vein, or into the spinal canal,  e.g."
331,Anti-tetanic serum? <sep>,anti-tetanic serum.
332,What is the duration of the immunity produced by injections of antitoxic sera? <sep> What is the duration of the immunity produced by injections of antitoxic sera? <sep> What is the duration of the immunity produced by injections of antitoxic sera? <sep>,"The immunity produced by injections of antitoxic sera lasts only for a comparatively short time, seldom longer than a few weeks."
333,What is the name of the disease that causes anaphylaxis? <sep>,"""Serum Disease"" and Anaphylaxis."
334,What is the name of the rash that may occur after an injection? <sep> What is the name of the rash that may occur after an injection? <sep> What is the name of the rash that may occur after an injection? <sep> What is the name of the rash that may occur after an injection? <sep> What is the name of the rash that may occur after an injection? <sep>,"It is to be borne in mind that some patients exhibit a supersensitiveness with regard to protective sera, an injection being followed in a few days by the appearance of an urticarial or erythematous rash, pain and swelling of the joints, and a variable degree of fever."
335,What is the name of the disease that causes the symptoms of serum disease? <sep> What is the name of the disease that causes the symptoms of serum disease? <sep> What is the name of the disease that causes the symptoms of serum disease? <sep>,"These symptoms, to which the name  serum disease  is applied, usually disappear in the course of a few days."
336,What is anaphylaxis? <sep> What is anaphylaxis? <sep> What is anaphylaxis? <sep> What is anaphylaxis? <sep> What is anaphylaxis? <sep>,"The term  anaphylaxis  is applied to an allied condition of supersensitiveness which appears to be induced by the injection of certain substances, including toxins and sera, that are capable of acting as antigens."
337,What happens when a second injection is given after an interval of some days? <sep> What is the nature of profound shock? <sep> What may even prove fatal when a second injection is given? <sep>,"When a second injection is given after an interval of some days, if anaphylaxis has been established by the first dose, the patient suddenly manifests toxic symptoms of the nature of profound shock which may even prove fatal."
338,What is the mechanism by which anaphylaxis is established? <sep> What is the condition that makes a person liable to develop anaphylaxis? <sep>,The conditions which render a person liable to develop anaphylaxis and the mechanism by which it is established are as yet imperfectly understood.
339,What is the name of the vaccine that is used to treat HIV? <sep>,Vaccine Treatment.
340,Who developed the vaccine treatment? <sep> What does the vaccine treatment render the bacteria in the tissues less able to resist? <sep>,"The vaccine treatment elaborated by A. E. Wright consists in injecting, while the disease is still active, specially prepared dead cultures of the causative organisms, and is based on the fact that these ""vaccines"" render the bacteria in the tissues less able to resist the attacks of the phagocytes."
341,What is the most successful method of vaccine preparation? <sep> What is the most successful method of vaccine preparation? <sep> What is the most successful method of vaccine preparation? <sep> What is the most successful method of vaccine preparation? <sep>,"The method is most successful when the vaccine is prepared from organisms isolated from the patient himself,  autogenous vaccine , but when this is impracticable, or takes a considerable time, laboratory-prepared polyvalent  stock vaccines  may be used."
342,What is the clinical use of vaccines? <sep>,Clinical Use of Vaccines.
343,What is used up in the blood to neutralise the injections? <sep> What is the effect of a certain amount of opsonin in the blood on the opsonic index? <sep> What is the effect of a certain amount of opsonin in the blood on the opsonic index? <sep>,"Vaccines should not be given while a patient is in a negative phase, as a certain amount of the opsonin in the blood is used up in neutralising the substances injected, and this may reduce the opsonic index to such an extent that the vaccines themselves become dangerous."
344,What can determine the propriety of using a vaccine? <sep>,"As a rule, the propriety of using a vaccine can be determined from the general condition of the patient."
345,What should the initial dose be? <sep> What should the initial dose be? <sep> What will determine the subsequent dosage? <sep>,"The initial dose should always be a small one, particularly if the disease is acute, and the subsequent dosage will be regulated by the effect produced."
346,What indicates a negative phase of a vaccine? <sep> What indicates a negative phase of a vaccine? <sep> What indicates a negative phase of a vaccine? <sep> What indicates a negative phase of a vaccine? <sep>,"If marked constitutional disturbance with rise of temperature follows the use of a vaccine, it indicates a negative phase, and calls for a diminution in the next dose."
347,What indicates a positive phase? <sep> What may be repeated or increased if the local and general condition of the patient improves after the injection? <sep>,"If, on the other hand, the local as well as the general condition of the patient improves after the injection, it indicates a positive phase, and the original dose may be repeated or even increased."
348,What is the best way to introduce a vaccine? <sep> What is the part of the vaccine that is not liable to pressure? <sep> What is the reason for a local reaction? <sep>,"Vaccines are best introduced subcutaneously, a part being selected which is not liable to pressure, as there is sometimes considerable local reaction."
349,What may be necessary at intervals of a few days? <sep>,Repeated doses may be necessary at intervals of a few days.
350,What has been successfully employed in various lesions caused by bacteria? <sep> What is a pyogenic infection? <sep> What is a gonococcal condition? <sep> What is an accessory air sinus infection? <sep>,"The vaccine treatment has been successfully employed in various tuberculous lesions, in pyogenic infections such as acne, boils, sycosis, streptococcal, pneumococcal, and gonococcal conditions, in infections of the accessory air sinuses, and in other diseases caused by bacteria."
351,,
