question|answer
describe: Motor Phenomena|Motor Phenomena.There is immediate and complete loss of voluntary power in the muscles supplied by the divided nerve.The muscles rapidly waste, and within from three to five days, they cease to react to the faradic current.When tested with the galvanic current, it is found that a stronger current must be used to call forth contraction than in a healthy muscle, and the contraction appears first at the closing of the circuit when the anode is used as the testing electrode.The loss of excitability to the interrupted current, and the specific alteration in the type of contraction with the constant current, is known as the  reaction of degeneration .After a few weeks all electric excitability is lost.
describe: Arthropathies|Arthropathies are occasionally met with, the joints becoming the seat of a painless effusion or hydrops, which is followed by fibrous thickening of the capsular and other ligaments, and terminates in stiffness and fibrous ankylosis.In this way the fingers are seriously crippled and deformed.Treatment of Divided Nerves.The treatment consists in approximating the divided ends of the nerve and placing them under the most favourable conditions for repair, and this should be done at the earliest possible opportunity.( Op.Surg.
describe: Incomplete Division of a Mixed Nerve|Incomplete Division of a Mixed Nerve.The effects of partial division of a mixed nerve vary according to the destination of the nerve bundles that have been interrupted.Within their area of distribution the paralysis is as complete as if the whole trunk had been cut across.The uninjured nerve-bundles continue to transmit impulses with the result that there is a  dissociated paralysis  within the distribution of the affected nerve, some muscles continuing to act and to respond normally to electric stimulation, while others behave as if the whole nerve-trunk had been severed.In addition to vasomotor and trophic changes, there is often severe pain of a burning kind ( causalgia  or  thermalgia ) which comes on about a fortnight after the injury and causes intense and continuous suffering which may last for months.Paroxysms of pain may be excited by the slightest touch or by heat, and the patient usually learns for himself that the constant application of cold wet cloths allays the pain.
describe: hyperasthesia|One of the most constant symptoms is the early occurrence of severe neuralgic pain, and this is usually associated with marked hyperasthesia.Regeneration.Process of Repair when the Ends are in Contact.If the wound is aseptic , and the ends of the divided nerve are sutured or remain in contact, they become united, and the conducting paths are re-established by a regeneration of nerve fibres.There is a difference of opinion as to the method of regeneration.The Wallerian doctrine is that the axis cylinders in the central end grow downwards, and enter the nerve sheaths of the distal portion, and continue growing until they reach the peripheral terminations in muscle and skin, and in course of time acquire a myelin sheath; the cells of the neurolemma multiply and form long chains in both ends of the nerve, and are believed to provide for the nourishment and support of the actively lengthening axis cylinders.Some weeks or months after the injury, the patient complains of increasing hyperasthesia and of neuralgic pains in the course of the nerve.The nerve is very sensitive to pressure, and, if superficial, may be felt to be swollen.The associated muscles are wasted and weak, and are subject to twitchings.There are also trophic disturbances.It is rare to have complete sensory and motor paralysis.The disease is commonest in the nerves of the upper extremity, and the hand may become crippled and useless.
describe: Multiple Peripheral Neuritis|Multiple Peripheral Neuritis.Although this disease mainly comes under the cognizance of the physician, it may be attended with phenomena which call for surgical interference.In this country it is commonly due to alcoholism, but it may result from diabetes or from chronic poisoning with lead or arsenic, or from bacterial infections and intoxications such as occur in diphtheria, gonorrhœa, syphilis, leprosy, typhoid, influenza, beri-beri, and many other diseases.It is, as a rule, widely distributed throughout the peripheral nerves, but the distribution frequently varies with the cause the alcoholic form, for example, mainly affecting the legs, the diphtheritic form the soft palate and pharynx, and that associated with lead poisoning the forearms.The essential lesion is a degeneration of the conducting fibres of the affected nerves, and the prominent symptoms are the result of this.In alcoholic neuritis there is great tenderness of the muscles.
describe: the ulnar nerve|This injury, which resembles the dislocation of tendons from their grooves, is seldom met with except in the ulnar nerve at the elbow, and is described with injuries of that nerve.DISEASES OF NERVES  Traumatic Neuritis.This consists in an overgrowth of the connective-tissue framework of a nerve, which causes irritation and pressure upon the nerve fibres, sometimes resulting in their degeneration.It may originate in connection with a wound in the vicinity of a nerve, as, for example, when the brachial nerves are involved in scar tissue subsequent to an operation for clearing out the axilla for cancer; or in contusion and compression of a nerve for example, by the pressure of the head of the humerus in a dislocation of the shoulder.Some weeks or months after the injury, the patient complains of increasing hyperasthesia and of neuralgic pains in the course of the nerve.The nerve is very sensitive to pressure, and, if superficial, may be felt to be swollen.Infra-clavicular injuries , as already stated, are most often produced by a sub-coracoid dislocation of the humerus; the medial cord is that most frequently injured, and the muscles paralysed are those supplied by the ulnar nerve, with, in addition, those intrinsic muscles of the hand supplied by the median.Sensibility is affected over the medial surface of the forearm and ulnar area of the hand.Injury of the lateral and posterior cords is very rare.Treatment  is carried out on the lines already laid down for nerve injuries in general.It is impossible to diagnose between complete and incomplete rupture of the nerve cords, until sufficient time has elapsed to allow of the establishment of the reaction of degeneration.If this is present at the end of fourteen days, operation should not be delayed.
describe: ossis metacarpi|The palmaris longus is anastomosed with the abductor pollicis longus (extensor ossis metacarpi pollicis), thus securing a fair amount of abduction of the thumb.The flexor carpi ulnaris may also be anastomosed with the common extensor of the fingers.The extensors of the wrist may be shortened, so as to place the hand in the position of dorsal flexion, and thus improve the attitude and grasp of the hand.The superficial branch of the radial  (radial nerve)  and the deep branch  (posterior interosseous), apart from suffering in lesions of the radial, are liable to be contused or torn is dislocation of the head of the radius, and in fracture of the neck of the bone.The deep branch may be divided as it passes through the supinator in operations on old fractures and dislocations in the region of the elbow.Division of the superficial branch in the upper two-thirds of the forearm produces no loss of sensibility; division in the lower third after the nerve has become associated with branches from the musculo-cutaneous is followed by a loss of sensibility on the radial side of the hand and thumb.ossis metacarpi pollicis), while opposition may be simulated by contraction of the long flexor and the short abductor of the thumb; the paralysis of the two medial lumbricals produces no symptoms that can be recognised.It is important to remember that when the median nerve is divided at the wrist, deep touch can be appreciated over the whole of the area supplied by the nerve; the injury, therefore, is liable to be over looked.If, however, the tendons are divided as well as the nerve, there is insensibility to deep touch.The areas of epicritic and of protopathic insensibility are illustrated in Fig.91.The division of the nerve at the elbow, or even at the axilla, does not increase the extent of the loss of epicritic or protopathic sensibility, but usually affects deep sensibility.
describe: The Ulnar Nerve|The Ulnar Nerve.The most common injury of this nerve is its division in transverse accidental wounds just above the wrist.In the arm it may be contused, along with the radial, in crutch paralysis; in the region of the elbow it may be injured in fractures or dislocations, or it may be accidentally divided in the operation for excising the elbow-joint.When it is injured  at or above the elbow , there is paralysis of the flexor carpi ulnaris, the ulnar half of the flexor digitorum profundus, all the interossei, the two medial lumbricals, and the adductors of the thumb.The hand assumes a characteristic attitude: the index and middle fingers are extended at the metacarpo-phalangeal joints owing to paralysis of the interosseous muscles attached to them; the little and ring fingers are hyper-extended at these joints in consequence of the paralysis of the lumbricals; all the fingers are flexed at the inter-phalangeal joints, the flexion being most marked in the little and ring fingers claw-hand or  main en griffe .On flexing the wrist, the hand is tilted to the radial side, but the paralysis of the flexor carpi ulnaris is often compensated for by the action of the palmaris longus.
describe: cubitus valgus|Dislocation of the ulnar nerve  at the elbow results from sudden and violent flexion of the joint, the muscular effort causing stretching or laceration of the fascia that holds the nerve in its groove; it is predisposed to if the groove is shallow as a result of imperfect development of the medial condyle of the humerus, and by cubitus valgus.The nerve slips forward, and may be felt lying on the medial aspect of the condyle.It may retain this position, or it may slip backwards and forwards with the movements of the arm.The symptoms at the time of the displacement are some disability at the elbow, and pain and tingling along the nerve, which are exaggerated by movement and by pressure.The symptoms may subside altogether, or a neuritis may develop, with severe pain shooting up the nerve.The dislocated nerve is easily replaced, but is difficult to retain in position.
describe: The Sciatic Nerve|"The Sciatic Nerve.When this nerve is compressed, as by sitting on a fence, there is tingling and powerlessness in the limb as a whole, known as ""sleeping"" of the limb, but these phenomena are evanescent.Injuries to the great sciatic nerve  are rare except in war.Partial division is more common than complete, and it is noteworthy that the fibres destined for the peroneal nerve are more often and more severely injured than those for the tibial (internal popliteal).After complete division, all the muscles of the leg are paralysed; if the section is in the upper part of the thigh, the hamstrings are also paralysed.The limb is at first quite powerless, but the patient usually recovers sufficiently to be able to walk with a little support, and although the hamstrings are paralysed the knee can be flexed by the sartorius and gracilis."
describe: The Common Peroneal|"The Common Peroneal (external popliteal) nerve  is exposed to injury where it winds round the neck of the fibula, because it is superficial and lies against the unyielding bone.It may be compressed by a tourniquet, or it may be bruised or torn in fractures of the upper end of the bone.It has been divided in accidental wounds, by a scythe, for example, in incising for cellulitis, and in performing subcutaneous tenotomy of the biceps tendon.Cases have been observed of paralysis of the nerve as a result of prolonged acute flexion of the knee in certain occupations.When the nerve is divided, the most obvious result is ""drop-foot""; the patient is unable to dorsiflex the foot and cannot lift his toes off the ground, so that in walking he is obliged to jerk the foot forwards and laterally.The loss of sensibility depends upon whether the nerve is divided above or below the origin of the large cutaneous branch which comes off just before it passes round the neck of the fibula."
describe: The Injection of Alcohol|The Injection of Alcohol into the Nerve.The alcohol acts by destroying the nerve fibres, and must be brought into direct contact with them; if the nerve has been properly struck the injection is followed by complete anasthesia in the distribution of the nerve.The relief may last for from six months to three years; if the pain returns, the injection may be repeated.The strength of the alcohol should be 85 per cent., and the amount injected about 2 c.c.; a general, or preferably a local, anasthetic (novocain) should be employed (Schlösser); the needle is 8 cm.long, and 0.7 mm.
describe: novocain-suprarenin|solution of  novocain-suprarenin  through it before the alcohol is injected.The treatment by injection of alcohol is superior to the resection of branches of the nerve, for though relapses occur after the treatment with alcohol, renewed freedom from pain may be obtained by its repetition.The ophthalmic division should not, however, be treated in this manner, for the alcohol may escape into the orbit and endanger other nerves in this region.Harris recommends the injection of alcohol into the semilunar ganglion.Operative Treatment.This consists in the removal of the affected nerve or nerves, either by resection  neurectomy ; or by a combination of resection with twisting or tearing of the nerve from its central connections  avulsion .
describe: Callosities|Callosities  are prominent, indurated masses of the horny layer of the epidermis, where it has been exposed to prolonged friction and pressure.They occur on the fingers and hand as a result of certain occupations and sports, but are most common under the balls of the toes or heel.A bursa may form beneath a callosity, and if it becomes inflamed may cause considerable suffering; if suppuration ensues, a sinus may form, resembling a perforating ulcer of the foot.The  treatment  of callosities on the foot consists in removing pressure by wearing properly fitting boots, and in applying a ring pad around the callosity; another method is to fit a sock of spongiopilene with a hole cut out opposite the callosity.After soaking in hot water, the overgrown horny layer is pared away, and the part painted daily with a saturated solution of salicylic acid in flexile collodion.Corns.
describe: Boils and Carbuncles|"Boils and Carbuncles.These result from infection with the staphylococcus aureus, which enters the orifices of the ducts of the skin under the influence of friction and pressure, as was demonstrated by the well-known experiment of Garrè, who produced a crop of pustules and boils on his own forearm by rubbing in a culture of the staphylococcus aureus.A  boil  results when the infection is located in a hair follicle or sebaceous gland.A hard, painful, conical swelling develops, to which, so long as the skin retains its normal appearance, the term ""blind boil"" is applied.Usually, however, the skin becomes red, and after a time breaks, giving exit to a drop or two of thick pus.After an interval of from six to ten days a soft white slough is discharged; this is known as the ""core,"" and consists of the necrosed hair follicle or sebaceous gland."
describe: ceous gland|The more highly organised elements of the skin, such as the hair follicles, the sweat and sebaceous glands, are imperfectly reproduced; hence the scar remains smooth, dry, and hairless.Epithelium.Epithelium is only reproduced from pre-existing epithelium, and, as a rule, from one of a similar type, although metaplastic transformation of cells of one kind of epithelium into another kind can take place.Thus a granulating surface may be covered entirely by the ingrowing of the cutaneous epithelium from the margins; or islets, originating in surviving cells of sebaceous glands or sweat glands, or of hair follicles, may spring up in the centre of the raw area.Such islets may also be due to the accidental transference of loose epithelial cells from the edges.Even the fluid from a blister, in virtue of the isolated cells of the rete Malpighii which it contains, is capable of starting epithelial growth on a granulating surface.Thus a granulating surface may be covered entirely by the ingrowing of the cutaneous epithelium from the margins; or islets, originating in surviving cells of sebaceous glands or sweat glands, or of hair follicles, may spring up in the centre of the raw area.Such islets may also be due to the accidental transference of loose epithelial cells from the edges.Even the fluid from a blister, in virtue of the isolated cells of the rete Malpighii which it contains, is capable of starting epithelial growth on a granulating surface.Hairs and nails may be completely regenerated if a sufficient amount of the hair follicles or of the nail matrix has escaped destruction.The epithelium of a mucous membrane is regenerated in the same way as that on a cutaneous surface.Epithelial cells have the power of living for some time after being separated from their normal surroundings, and of growing again when once more placed in favourable circumstances.
describe: inoculation tubercle|We have chiefly observed it in the femoral glands as a result of inoculation tubercle on the toes or sole of the foot.The affected glands nearly always break down and suppurate, and after destroying the overlying skin give rise to fungating ulcers.The treatment consists in excising the glands and the affected skin.The dissection may be attended with troublesome hamorrhage from the numerous veins that converge towards the femoral trunk.Tuberculous disease in the  mesenteric  and  bronchial glands  is described with the surgery of regions.Syphilitic Disease of Glands.Interest attaches chiefly to the primary forms of tuberculosis of the skin in which the bacilli penetrate from without inoculation tubercle and lupus.Inoculation Tubercle.The appearances vary with the conditions under which the inoculation takes place.As observed on the fingers of adults, the affection takes the form of an indolent painless swelling, the epidermis being red and glazed, or warty, and irregularly fissured.Sometimes the epidermis gives way, forming an ulcer with flabby granulations.The infection rarely spreads to the lymphatics, but we have seen inoculation tubercle of the index-finger followed by a large cold abscess on the median side of the upper arm and by a huge mass of breaking down glands in the axilla.
describe: Inoculation Tubercle|Inoculation Tubercle.The appearances vary with the conditions under which the inoculation takes place.As observed on the fingers of adults, the affection takes the form of an indolent painless swelling, the epidermis being red and glazed, or warty, and irregularly fissured.Sometimes the epidermis gives way, forming an ulcer with flabby granulations.The infection rarely spreads to the lymphatics, but we have seen inoculation tubercle of the index-finger followed by a large cold abscess on the median side of the upper arm and by a huge mass of breaking down glands in the axilla.In children who run about barefooted in towns, tubercle may be inoculated into wounds in the sole or about the toes, and although the local appearances may not be characteristic, the nature of the infection is revealed by its tendency to spread up the limb along the lymph vessels, giving rise to abscesses and fungating ulcers in relation to the femoral glands.
describe: Sporotrichosis|Sporotrichosis  is a mycotic infection due to the sporothrix Shenkii.It presents so many features resembling syphilis and tubercle that it is frequently mistaken for one or other of these affections.It occurs chiefly in males between fifteen and forty-five, who are farmers, fruit and vegetable dealers, or florists.There is usually a history of trauma of the nature of a scratch or a cut, and after a long incubation period there develop a series of small, hard, round nodules in the skin and subcutaneous tissue which, without pain or temperature, soften into cold abscesses and leave indolent ulcers or sinuses.The infection is of slow progress and follows the course of the lymphatics.From the gelatinous pus the organism is cultivated without difficulty, and this is the essential step in arriving at a diagnosis.
describe: lymphangioplasty|Handley has devised a method of treatment  lymphangioplasty  the object of which is to drain the lymph by embedding a number of silk threads in the subcutaneous cellular tissue.Wounds of the Thoracic Duct.The thoracic duct usually opens at the angle formed by the junction of the left internal jugular and subclavian veins, but it may open into either of these vessels by one or by several channels, or the duct may be double throughout its course.There is a smaller duct on the right side the right lymphatic duct.The duct or ducts may be displaced by a tumour or a mass of enlarged glands, and may be accidentally wounded in dissections at the root of the neck; jets of milky fluid chyle may at once escape from it.The jets are rhythmical and coincide with expiration.Samson Handley has sought to replace the blocked lymph vessels by burying in the subcutaneous tissue of the swollen part a number of stout silk threads  lymphangioplasty .By their capillary action they drain the lymph to a healthy region above, and thus enable it to enter the circulation.It has been more successful in the face and upper limb than in the lower extremity.If the tissues are infected with pus organisms, a course of vaccines should precede the operation.A similar type of elephantiasis may occur after extirpation of the lymph glands in the axilla or groin; in the leg in long-standing standing varix and phlebitis with chronic ulcer; in the arm as a result of extensive cancerous disease of the lymphatics in the axilla secondarily to cancer of the breast; and in extensive tuberculous disease of the lymphatics.The last-named is chiefly observed in the lower limb in young adult women, and from its following upon lupus of the toes or foot it has been called  lupus elephantiasis .
describe: Hutchinson|Erratic chancre is the term applied by Jonathan Hutchinson to the primary lesion of syphilis when it appears on parts of the body other than the genitals.It differs in some respects from the hard chancre as met with on the penis; it is usually larger, the induration is more diffused, and the enlarged glands are softer and more sensitive.The glands in nearest relation to the sore are those first affected, for example, the epitrochlear or axillary glands in chancre of the finger; the submaxillary glands in chancre of the lip or mouth; or the pre-auricular gland in chancre of the eyelid or forehead.In consequence of their divergence from the typical chancre, and of their being often met with in persons who, from age, surroundings, or moral character, are unlikely subjects of venereal disease, the true nature of erratic chancres is often overlooked until the persistence of the lesion, its want of resemblance to anything else, or the onset of constitutional symptoms, determines the diagnosis of syphilis.A solitary, indolent sore occurring on the lip, eyelid, finger, or nipple, which does not heal but tends to increase in size, and is associated with induration and enlargement of the adjacent glands, is most likely to be the primary lesion of syphilis. ]From  A System of Syphilis , vol.After the dying away of the secondary manifestations and before the appearance of tertiary lesions, the patient may present certain symptoms which Hutchinson called  reminders .These usually consist of relapses of certain of the affections of the skin, mouth, or throat, already described.In the skin, they may assume the form of peeling patches in the palms, or may appear as spreading and confluent circles of a scaly papular eruption, which if neglected may lead to the formation of fissures and superficial ulcers.Less frequently there is a relapse of the eye affections, or of paralytic symptoms from disease of the cerebral arteries.Tertiary Syphilis.While the manifestations of primary and secondary syphilis are common, those of the tertiary period are by comparison rare, and are observed chiefly in those who have either neglected treatment or who have had their powers of resistance lowered by privation, by alcoholic indulgence, or by tropical disease.
describe: crateriform|A more exuberant and rapidly growing form of epithelial cancer, described by Hutchinson as the  crateriform ulcer , commences on the face as a small red pimple which rapidly develops into an elevated mass shaped like a bee-hive, and breaks down in the centre.Epithelioma may develop anywhere on the body in relation to long-standing ulcers, especially that resulting from a burn or from lupus; this form usually presents an exuberant outgrowth of epidermis not unlike a cauliflower.An interesting example of epithelioma has been described by Neve of Kashmir.The natives in that province are in the habit of carrying a fire-basket suspended from the waist, which often burns the skin and causes a chronic ulcer, and many of these ulcers become the seat of epithelioma, due, in Neve's opinion, to the actual contact of the sooty pan with the skin.The term  trade epithelioma  has been applied to that form met with in those who follow certain occupations, such as paraffin workers and chimney-sweeps.The most recent member of this group is the  X-ray carcinoma , which is met with in those who are constantly exposed to the irritation of the X-rays; there is first a chronic dermatitis with warty overgrowth of the surface epithelium, pigmentation, and the formation of fissures and warts.
describe: ual contact of|The natives in that province are in the habit of carrying a fire-basket suspended from the waist, which often burns the skin and causes a chronic ulcer, and many of these ulcers become the seat of epithelioma, due, in Neve's opinion, to the actual contact of the sooty pan with the skin.The term  trade epithelioma  has been applied to that form met with in those who follow certain occupations, such as paraffin workers and chimney-sweeps.The most recent member of this group is the  X-ray carcinoma , which is met with in those who are constantly exposed to the irritation of the X-rays; there is first a chronic dermatitis with warty overgrowth of the surface epithelium, pigmentation, and the formation of fissures and warts.The trade epithelioma varies a good deal in malignancy, but it tends to cause death in the same manner as other epitheliomas.Epithelial cancer has also been observed in those who have taken arsenic over long periods for medicinal purposes.Rodent Cancer  (Rodent Ulcer).
describe: Sprain and Partial Rupture of Muscle|"Sprain and Partial Rupture of Muscle.This lesion consists in overstretching and partial rupture of the fibres of a muscle or its aponeurosis.It is of common occurrence in athletes and in those who follow laborious occupations.It may follow upon a single or repeated effort especially in those who are out of training.Familiar examples of muscular sprain are the ""labourer's"" or ""golfer's back,"" affecting the latissimus dorsi or the sacrospinalis (erector spina); the ""tennis-player's elbow,"" and the ""sculler's sprain,"" affecting the muscles and ligaments about the elbow; the ""angler's elbow,"" affecting the common origin of the extensors and supinators; the ""sprinter's sprain,"" affecting the flexors of the hip; and the ""jumper's and dancer's sprain,"" affecting the muscles of the calf.The patient complains of pain, often sudden in onset, of tenderness on pressure, and of inability to carry out the particular movement by which the sprain was produced."
describe: the ulnar border|The prominence of the tendon, which normally forms the ulnar border of the snuff-box, disappears.This lesion is chiefly met with in drummer-boys and is the cause of drummer's palsy.The only chance of restoring function is in uniting the ruptured tendon by open operation.Avulsion of Tendons.This is a rare injury, in which the tendons of a finger or toe are torn from their attachments along with a portion of the digit concerned.In the hand, it is usually brought about by the fingers being caught in the reins of a runaway horse, or being seized in a horse's teeth, or in machinery.
describe: aponeuroses|"It would appear to involve mainly the fibrous tissue of muscles, although it may extend from this to aponeuroses, ligaments, periosteum, and the sheaths of nerves.The term  fibrositis  was applied to it by Gowers in 1904.In  lumbago   lumbo-sacral fibrositis  the pain is usually located over the sacrum, the sacro-iliac joint, or the aponeurosis of the lumbar muscles on one or both sides.The amount of tenderness varies, and so long as the patient is still he is free from pain.The slightest attempt to alter his position, however, is attended by pain, which may be so severe as to render him helpless for the moment.The pain is most marked on rising from the stooping or sitting posture, and may extend down the back of the hip, especially if, as is commonly the case, lumbago and gluteal fibrosis coexist.A similar condition may implicate the fascia lata of the thigh, or the calf muscles and their aponeuroses  crural fibrositis .In  painful stiff-neck , or ""rheumatic torticollis,"" the pain is located in one side of the neck, and is excited by some inadvertent movement.The head is held stiffly on one side as in wry-neck, the patient contracting the sterno-mastoid.There may be tenderness over the vertebral spines or in the lines of the cervical nerves, and the sterno-mastoid may undergo atrophy.This affection is more often met with in children.In  pleurodynia   intercostal fibrositis  the pain is in the line of the intercostal nerves, and is excited by movement of the chest, as in coughing, or by any bodily exertion."
describe: Llewellyn and Jones|"If untreated, the morbid process may implicate the sheath of the sciatic nerve and cause genuine sciatic neuralgia (Llewellyn and Jones).A similar condition may implicate the fascia lata of the thigh, or the calf muscles and their aponeuroses  crural fibrositis .In  painful stiff-neck , or ""rheumatic torticollis,"" the pain is located in one side of the neck, and is excited by some inadvertent movement.The head is held stiffly on one side as in wry-neck, the patient contracting the sterno-mastoid.There may be tenderness over the vertebral spines or in the lines of the cervical nerves, and the sterno-mastoid may undergo atrophy.This affection is more often met with in children."
describe: aponeuroses  crural fibrositis|"A similar condition may implicate the fascia lata of the thigh, or the calf muscles and their aponeuroses  crural fibrositis .In  painful stiff-neck , or ""rheumatic torticollis,"" the pain is located in one side of the neck, and is excited by some inadvertent movement.The head is held stiffly on one side as in wry-neck, the patient contracting the sterno-mastoid.There may be tenderness over the vertebral spines or in the lines of the cervical nerves, and the sterno-mastoid may undergo atrophy.This affection is more often met with in children.In  pleurodynia   intercostal fibrositis  the pain is in the line of the intercostal nerves, and is excited by movement of the chest, as in coughing, or by any bodily exertion."
describe: latissimus|"Familiar examples of muscular sprain are the ""labourer's"" or ""golfer's back,"" affecting the latissimus dorsi or the sacrospinalis (erector spina); the ""tennis-player's elbow,"" and the ""sculler's sprain,"" affecting the muscles and ligaments about the elbow; the ""angler's elbow,"" affecting the common origin of the extensors and supinators; the ""sprinter's sprain,"" affecting the flexors of the hip; and the ""jumper's and dancer's sprain,"" affecting the muscles of the calf.The patient complains of pain, often sudden in onset, of tenderness on pressure, and of inability to carry out the particular movement by which the sprain was produced.The disability varies in different cases, and it may incapacitate the patient from following his occupation or sport for weeks or, if imperfectly treated, even for months.The  treatment  consists in resting the muscle from the particular effort concerned in the production of the sprain, in gently exercising it in other directions, in the use of massage, and the induction of hyperamia by means of heat.In neglected cases, that is, where the muscle has not been exercised, the patient shrinks from using it and the disablement threatens to be permanent; it is sometimes said that adhesions have formed and that these interfere with the recovery of function.The condition may be overcome by graduated movements or by a sudden forcible movement under an anasthetic.The muscles of the back, especially the trapezius and latissimus, are the first to be affected, and the initial complaint is limitation of movement.The affected muscles show swellings which are rounded or oval, firm and elastic, sharply defined, without tenderness and without discoloration of the overlying skin.Skiagrams show that a considerable deposit of lime salts may precede the formation of bone, as is seen in Fig.111.In course of time the vertebral column becomes rigid, the head is bent forward, the hips are flexed, and abduction and other movements of the arms are limited.The disease progresses by fits and starts, until all the striped muscles of the body are replaced by bone, and all movements, even those of the jaws, are abolished."
describe: Syphilitic Affections of Tendon Sheaths|Syphilitic Affections of Tendon Sheaths.These closely resemble the syphilitic affections of the synovial membrane of joints.During the secondary period the lesion usually consists in effusion into the sheath; gummata are met with during the tertiary period.Arborescent lipoma has been found in the sheaths of tendons about the wrist and ankle, sometimes in a multiple and symmetrical form, unattended by symptoms and disappearing under anti-syphilitic treatment.Tumours of Tendon Sheaths.Innocent tumours, such as  lipoma ,  fibroma , and  myxoma , are rare.
describe: ligamentum|"The bursa  between the ligamentum patella and the tibia  is rarely the seat of disease.When it is, there is pain and tenderness referred to the ligament, the patient is unable to extend the limb completely, the tuberosity of the tibia is apparently enlarged, and there is a fluctuating swelling on either side of the ligament, most marked in the extended position of the limb.Of the numerous bursa in the popliteal space, that  between the semi-membranosus and the medial head of the gastrocnemius  is most frequently the seat of disease, which is usually of the nature of a simple hydrops, forming a fluctuating egg-or sausage-shaped swelling at the medial side of the popliteal space.It is flaccid in the flexed, and tense in the extended position.As a rule it causes little inconvenience, and may be left alone.Otherwise it should be dissected out, and if, as is frequently the case, there is a communication with the knee-joint, this should be closed with sutures.Intra-articular ligaments, such as the ligamentum teres in the hip, are usually worn away and disappear.The surrounding muscles undergo atrophy, tendons become adherent to their sheaths and may be ossified, and the sheaths of nerves may be involved by the cicatricial changes in the surrounding tissues.The X-ray appearances of arthritis deformans  necessarily vary with the type of the disease and the joint affected; in the joints of the fingers there is a narrowing of the spaces between the articular ends of the bones as a result of absorption of the articular cartilage, and rarefaction of the cancellous tissue in the vicinity of the joints; in the larger joints there is ""lipping"" of the articular margins, osteophytes, and other evidence of abnormal ossification in and around the joint.Eburnation of the articular surfaces is shown by increase in the density of the shadow of the bone in the areas affected.Treatment.Treatment is for the most part limited to the relief of symptoms."
describe: gastrocnemius|"As examples may be cited the rupture of the quadriceps extensor in attempting to regain the balance when falling backwards; of the gastrocnemius, plantaris, or tendo-calcaneus in jumping or dancing; of the adductors of the thigh in gripping a horse when it swerves ""rider's sprain""; of the abdominal muscles in vomiting, and of the biceps in sudden movements of the arm.Sometimes the effort is one that would scarcely be thought likely to rupture a muscle, as in the case recorded by Pagenstecher, where a professional athlete, while sitting at table, ruptured his biceps in a sudden effort to catch a falling glass.It would appear that the rupture is brought about not so much by the contraction of the muscle concerned, as by the contraction of the antagonistic muscles taking place before that of the muscle which undergoes rupture is completed.The violent muscular contractions of epilepsy, tetanus, or delirium rarely cause rupture.The  clinical features  are usually characteristic.The patient experiences a sudden pain, with the sensation of being struck with a whip, and of something giving way; sometimes a distant snap is heard.We have observed this form of tuberculous disease in the gastrocnemius and in the psoas in the latter muscle apart from tuberculous disease in the vertebra.Tendinitis.German authors describe an inflammation of tendon as distinguished from inflammation of its sheath, and give it the name tendinitis.It is met with most frequently in the tendo-calcaneus in gouty and rheumatic subjects who have overstrained the tendon, especially during cold and damp weather.There is localised pain which is aggravated by walking, and the tendon is sensitive and swollen from a little above its insertion to its junction with the muscle.Gouty nodules may form in its substance."
describe: the subcalcanean bursa|"The bursa that is sometimes met with on the under aspect of the calcaneus  the subcalcanean bursa  when inflamed, gives rise to pain and tenderness in the sole of the foot.This affection may be associated with a spinous projection from the bone, which is capable of being recognised in a skiagram.The soft parts of the heel are turned forwards as a flap, the bursa is dissected out, and the projection of bone, if present, is removed.The enlargement of adventitious bursa over the head of the first metatarsal in hallux valgus; over the tarsus, metatarsus, and digits in the different forms of club-foot; over the angular projection in Pott's disease of the spine; over the end of the bone in amputation stumps, and over hard tumours such as chondroma and osteoma, are described elsewhere.CHAPTER XX DISEASES OF BONE

Anatomy and physiology Regeneration of bone Transplantation of bone.DISEASES OF BONE Definition of terms Pyogenic diseases:      Acute osteomyelitis and periostitis ;  Chronic and relapsing     osteomyelitis ;  Abscess of bone  Tuberculous disease Syphilitic     disease Hydatids; Rickets; Osteomalacia Ostitis deformans of     Paget Osteomyelitis fibrosa Affections of bones in diseases of     the nervous system Fragilitas ossium Tumours and cysts of bone."
